Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Albania,ALB,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Algeria,DZA,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Angola,AGO,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Antigua and Barbuda,ATG,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,50
Argentina,ARG,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,100
Armenia,ARM,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Australia,AUS,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Austria,AUT,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,83.33333
Azerbaijan,AZE,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
"Bahamas, The",BHS,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,83.33333
Bahrain,BHR,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,83.33333
Bangladesh,BGD,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Barbados,BRB,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,50
Beijing,CHN_BEI,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,83.33333
Belarus,BLR,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,50
Belgium,BEL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Belize,BLZ,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Benin,BEN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Bhutan,BTN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,50
Bolivia,BOL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Bosnia and Herzegovina,BIH,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Botswana,BWA,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Brazil,BRA,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Brunei Darussalam,BRN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Bulgaria,BGR,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,100
Burkina Faso,BFA,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Burundi,BDI,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Cabo Verde,CPV,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Cambodia,KHM,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Cameroon,CMR,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Canada,CAN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Central African Republic,CAF,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Chad,TCD,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Chile,CHL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,100
China,CHN,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,83.33333
Chittagong,BGD_CHI,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Colombia,COL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,66.66667
Comoros,COM,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
"Congo, Dem. Rep.",COD,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
"Congo, Rep.",COG,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,0
Costa Rica,CRI,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN,33.33333
